seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
440;75;0.933986;1;0.0660143;20;15;0.632456;0.894427;1.52688;0.301967
441;75;0.933367;1;0.0666334;20;15;0;0.894427;0.894427;0.290942
442;75;0.947383;1;0.0526165;20;15;0;1.67332;1.67332;0.292704
443;75;0.953014;1;0.0469859;20;15;0.632456;1.09545;1.7279;0.297301
444;75;0.949911;1;0.0500889;20;15;0;0.632456;0.632456;0.295464
445;75;0.925659;1;0.0743414;20;15;0;0.632456;0.632456;0.299332
446;75;0.914667;1;0.0853325;20;15;0;1.41421;1.41421;0.285145
447;75;0.936902;1;0.0630983;20;15;0;1.26491;1.26491;0.300922
448;75;0.952478;1;0.0475218;20;15;1.78885;0.632456;2.42131;0.292108
449;75;0.937653;1;0.0623471;20;15;1.78885;1.67332;3.46217;0.286948
450;75;0.938968;1;0.0610322;20;15;0;1.41421;1.41421;0.292871
451;75;0.90888;1;0.0911198;20;15;0;0.894427;0.894427;0.294502
452;75;0.926986;1;0.0730139;20;15;0.632456;0.894427;1.52688;0.290709
453;75;0.936046;1;0.0639536;20;15;0;1.67332;1.67332;0.292161
454;75;0.937001;1;0.0629988;20;15;1.09545;1.09545;2.19089;0.281763
455;75;0.915497;1;0.0845028;20;15;1.41421;0.632456;2.04667;0.297179
456;75;0.92285;1;0.07715;20;15;0;1.26491;1.26491;0.283635
457;75;0.935126;1;0.0648738;20;15;0;2;2;0.316579
458;75;0.941725;1;0.0582752;20;15;1.09545;0.632456;1.7279;0.295396
459;75;0.93278;1;0.0672196;20;15;0.632456;0.632456;1.26491;0.281442
460;75;0.909046;1;0.0909541;20;15;0;1.41421;1.41421;0.294025
461;75;0.918512;1;0.0814885;20;15;0;1.54919;1.54919;0.289854
462;75;0.931276;1;0.0687239;20;15;0;0.632456;0.632456;0.297974
463;75;0.943266;1;0.0567337;20;15;0;0.894427;0.894427;0.286668
464;75;0.906747;1;0.0932529;20;15;1.09545;1.78885;2.8843;0.302428
